"scientificName","Family","nativeStatus","plantOrigin"
"Aliciella formosa","Polemoniaceae","L48(N)","native"
"Aliciella haydenii","Polemoniaceae","L48(N)","native"
"Aliciella heterostyla","Polemoniaceae","L48(N)","native"
"Aliciella hutchinsifolia","Polemoniaceae","L48(N)","native"
"Aliciella latifolia","Polemoniaceae","L48(N)","native"
"Aliciella latifolia ssp. imperialis","Polemoniaceae","L48(N)","native"
"Aliciella latifolia ssp. latifolia","Polemoniaceae","L48(N)","native"
"Aliciella leptomeria","Polemoniaceae","L48(N)","native"
"Aliciella lottiae","Polemoniaceae","L48(N)","native"
"Aliciella mcvickerae","Polemoniaceae","L48(N)","native"
"Aliciella micromeria","Polemoniaceae","L48(N)","native"
"Aliciella nyensis","Polemoniaceae","L48(N)","native"
"Aliciella penstemonoides","Polemoniaceae","L48(N)","native"
"Aliciella pinnatifida","Polemoniaceae","L48(N)","native"
"Aliciella ripleyi","Polemoniaceae","L48(N)","native"
"Aliciella sedifolia","Polemoniaceae","L48(N)","native"
"Aliciella stenothyrsa","Polemoniaceae","L48(N)","native"
"Aliciella subacaulis","Polemoniaceae","L48(N)","native"
"Aliciella subnuda","Polemoniaceae","L48(N)","native"
"Aliciella tenuis","Polemoniaceae","L48(N)","native"
"Aliciella triodon","Polemoniaceae","L48(N)","native"
"Alisma","Alismataceae","L48(I,N)CAN(N)","native"
"Alisma gramineum","Alismataceae","L48(N)CAN(N)","native"
"Alisma lanceolatum","Alismataceae","L48(I)","alien"
"Alisma plantago-aquatica","Alismataceae","L48(I)AK(I)","alien"
"Alisma subcordatum","Alismataceae","L48(N)CAN(N)","native"
"Alisma triviale","Alismataceae","L48(N)AK(N)CAN(N)","native"
"Alkanna","Boraginaceae",NA,NA
"Alkanna tinctoria","Boraginaceae",NA,NA
"Allamanda","Apocynaceae","L48(I)","alien"
"Allamanda blanchetii","Apocynaceae","PR(I)",NA
"Allamanda cathartica","Apocynaceae","L48(I)PR(I)VI(I)","alien"
"Allamanda hendersonii","Apocynaceae",NA,NA
"Allamanda schottii","Apocynaceae","PR(I)",NA
"Allantoparmelia","Parmeliaceae","NA(N)","native"
"Allantoparmelia almquistii","Parmeliaceae","NA(N)","native"
"Allantoparmelia alpicola","Parmeliaceae","NA(N)","native"
"Allantoparmelia siberica","Parmeliaceae","NA(N)","native"
"Allenrolfea","Chenopodiaceae","L48(N)","native"
"Allenrolfea occidentalis","Chenopodiaceae","L48(N)","native"
"Alliaria","Brassicaceae","L48(I)CAN(I)","alien"
"Alliaria petiolata","Brassicaceae","L48(I)AK(I)CAN(I)","alien"
"Allionia","Nyctaginaceae","L48(N)","native"
"Allionia choisyi","Nyctaginaceae","L48(N)","native"
"Allionia incarnata","Nyctaginaceae","L48(N)","native"
"Allionia incarnata var. incarnata","Nyctaginaceae","L48(N)","native"
"Allionia incarnata var. nudata","Nyctaginaceae","L48(N)","native"
"Allionia incarnata var. villosa","Nyctaginaceae","L48(N)","native"
"Allium","Liliaceae","L48(I,N)","native"
"Allium X proliferum","Liliaceae","L48(I)","alien"
"Allium aaseae","Liliaceae","L48(N)","native"
"Allium abramsii","Liliaceae","L48(N)","native"
"Allium acuminatum","Liliaceae","L48(N)CAN(N)","native"
"Allium aflatunense","Liliaceae",NA,NA
"Allium allegheniense","Liliaceae","L48(N)VI(I?)","native"
"Allium ampeloprasum","Liliaceae","L48(I)","alien"
"Allium amplectens","Liliaceae","L48(N)CAN(N)","native"
"Allium anceps","Liliaceae","L48(N)","native"
"Allium ascalonicum","Liliaceae",NA,NA
"Allium atrorubens","Liliaceae","L48(N)","native"
"Allium atrorubens var. atrorubens","Liliaceae","L48(N)","native"
"Allium atrorubens var. cristatum","Liliaceae","L48(N)","native"
"Allium atroviolaceum","Liliaceae","L48(I)","alien"
"Allium bigelovii","Liliaceae","L48(N)","native"
"Allium bisceptrum","Liliaceae","L48(N)","native"
"Allium bisceptrum var. bisceptrum","Liliaceae","L48(N)","native"
"Allium bisceptrum var. palmeri","Liliaceae","L48(N)","native"
"Allium bolanderi","Liliaceae","L48(N)","native"
"Allium bolanderi var. bolanderi","Liliaceae","L48(N)","native"
"Allium bolanderi var. mirabile","Liliaceae","L48(N)","native"
"Allium bolanderi var. stenanthum","Liliaceae","L48(N)","native"
"Allium brandegeei","Liliaceae","L48(N)","native"
"Allium brevistylum","Liliaceae","L48(N)","native"
"Allium burdickii","Liliaceae","L48(N)CAN(N)","native"
"Allium burlewii","Liliaceae","L48(N)","native"
"Allium campanulatum","Liliaceae","L48(N)","native"
"Allium canadense","Liliaceae","L48(N)CAN(N)","native"
"Allium canadense var. canadense","Liliaceae","L48(N)CAN(N)","native"
"Allium canadense var. ecristatum","Liliaceae","L48(N)","native"
"Allium canadense var. fraseri","Liliaceae","L48(N)","native"
"Allium canadense var. hyacinthoides","Liliaceae","L48(N)","native"
"Allium canadense var. lavandulare","Liliaceae","L48(N)","native"
"Allium canadense var. mobilense","Liliaceae","L48(N)","native"
"Allium carinatum","Liliaceae",NA,NA
"Allium cepa","Liliaceae","L48(I)","alien"
"Allium cernuum","Liliaceae","L48(N)CAN(N)","native"
"Allium cernuum var. cernuum","Liliaceae","L48(N)CAN(N)","native"
"Allium cernuum var. neomexicanum","Liliaceae","L48(N)","native"
"Allium cernuum var. obtusum","Liliaceae","L48(N)CAN(N)","native"
"Allium chinense","Liliaceae",NA,NA
"Allium columbianum","Liliaceae","L48(N)","native"
"Allium constrictum","Liliaceae","L48(N)","native"
"Allium coryi","Liliaceae","L48(N)","native"
"Allium cratericola","Liliaceae","L48(N)","native"
"Allium crenulatum","Liliaceae","L48(N)CAN(N)","native"
"Allium crispum","Liliaceae","L48(N)","native"
"Allium cuthbertii","Liliaceae","L48(N)","native"
"Allium denticulatum","Liliaceae","L48(N)","native"
"Allium diabolense","Liliaceae","L48(N)","native"
"Allium dichlamydeum","Liliaceae","L48(N)","native"
"Allium dictuon","Liliaceae","L48(N)","native"
"Allium douglasii","Liliaceae","L48(N)","native"
"Allium drummondii","Liliaceae","L48(N)","native"
"Allium elmendorfii","Liliaceae","L48(N)","native"
"Allium falcifolium","Liliaceae","L48(N)","native"
"Allium fibrillum","Liliaceae","L48(N)","native"
"Allium fimbriatum","Liliaceae","L48(N)","native"
"Allium fimbriatum var. fimbriatum","Liliaceae","L48(N)","native"
"Allium fimbriatum var. mohavense","Liliaceae","L48(N)","native"
"Allium fimbriatum var. purdyi","Liliaceae","L48(N)","native"
"Allium fistulosum","Liliaceae","L48(I)AK(I)CAN(N)","alien"
"Allium geyeri","Liliaceae","L48(N)CAN(N)","native"
"Allium geyeri var. chatterleyi","Liliaceae","L48(N)","native"
"Allium geyeri var. geyeri","Liliaceae","L48(N)CAN(N)","native"
"Allium geyeri var. tenerum","Liliaceae","L48(N)CAN(N)","native"
"Allium glandulosum","Liliaceae","L48(N)","native"
"Allium gooddingii","Liliaceae","L48(N)","native"
"Allium haematochiton","Liliaceae","L48(N)","native"
"Allium hickmanii","Liliaceae","L48(N)","native"
"Allium hoffmanii","Liliaceae","L48(N)","native"
"Allium howellii","Liliaceae","L48(N)","native"
"Allium howellii var. clokeyi","Liliaceae","L48(N)","native"
"Allium howellii var. howellii","Liliaceae","L48(N)","native"
"Allium howellii var. sanbenitense","Liliaceae","L48(N)","native"
"Allium hyalinum","Liliaceae","L48(N)","native"
"Allium jepsonii","Liliaceae","L48(N)","native"
"Allium kunthii","Liliaceae","L48(N)","native"
"Allium lacunosum","Liliaceae","L48(N)","native"
"Allium lacunosum var. davisiae","Liliaceae","L48(N)","native"
"Allium lacunosum var. kernense","Liliaceae","L48(N)","native"
"Allium lacunosum var. lacunosum","Liliaceae","L48(N)","native"
"Allium lacunosum var. micranthum","Liliaceae","L48(N)","native"
"Allium lemmonii","Liliaceae","L48(N)","native"
"Allium macropetalum","Liliaceae","L48(N)","native"
"Allium macrum","Liliaceae","L48(N)","native"
"Allium madidum","Liliaceae","L48(N)","native"
"Allium membranaceum","Liliaceae","L48(N)","native"
"Allium moly","Liliaceae",NA,NA
"Allium monticola","Liliaceae","L48(N)","native"
"Allium munzii","Liliaceae","L48(N)","native"
"Allium neapolitanum","Liliaceae","L48(I)","alien"
"Allium nevadense","Liliaceae","L48(N)","native"
"Allium nevii","Liliaceae","L48(N)","native"
"Allium nigrum","Liliaceae","L48(I)","alien"
"Allium obtusum","Liliaceae","L48(N)","native"
"Allium obtusum var. conspicuum","Liliaceae","L48(N)","native"
"Allium obtusum var. obtusum","Liliaceae","L48(N)","native"
"Allium odorum","Liliaceae",NA,NA
"Allium oleraceum","Liliaceae","L48(I)CAN(W)","alien"
"Allium oxyphilum","Liliaceae","L48(N)","native"
"Allium paniculatum","Liliaceae","L48(I)","alien"
"Allium parishii","Liliaceae","L48(N)","native"
"Allium parryi","Liliaceae","L48(N)","native"
"Allium parvum","Liliaceae","L48(N)","native"
"Allium passeyi","Liliaceae","L48(N)","native"
"Allium peninsulare","Liliaceae","L48(N)","native"
"Allium peninsulare var. franciscanum","Liliaceae","L48(N)","native"
"Allium peninsulare var. peninsulare","Liliaceae","L48(N)","native"
"Allium perdulce","Liliaceae","L48(N)","native"
"Allium perdulce var. perdulce","Liliaceae","L48(N)","native"
"Allium perdulce var. sperryi","Liliaceae","L48(N)","native"
"Allium platycaule","Liliaceae","L48(N)","native"
"Allium pleianthum","Liliaceae","L48(N)","native"
"Allium plummerae","Liliaceae","L48(N)","native"
"Allium porrum","Liliaceae","L48(I)","alien"
"Allium praecox","Liliaceae","L48(N)","native"
"Allium punctum","Liliaceae","L48(N)","native"
"Allium robinsonii","Liliaceae","L48(N)","native"
"Allium runyonii","Liliaceae","L48(N)","native"
"Allium sanbornii","Liliaceae","L48(N)","native"
"Allium sanbornii var. congdonii","Liliaceae","L48(N)","native"
"Allium sanbornii var. sanbornii","Liliaceae","L48(N)","native"
"Allium sativum","Liliaceae","L48(I)CAN(I)","alien"
"Allium schoenoprasum","Liliaceae","L48(I,N)AK(NI)CAN(NI)","native"
"Allium schoenoprasum var. schoenoprasum","Liliaceae","L48(I)AK(I)CAN(I)","alien"
"Allium schoenoprasum var. sibiricum","Liliaceae","L48(N)AK(N)CAN(N)","native"
"Allium scilloides","Liliaceae","L48(N)","native"
"Allium scorodoprasum","Liliaceae","L48(I)","alien"
"Allium scorodoprasum ssp. rotundum","Liliaceae","L48(I)","alien"
"Allium serra","Liliaceae","L48(N)","native"
"Allium serratum","Liliaceae",NA,NA
"Allium sharsmithiae","Liliaceae","L48(N)","native"
"Allium shevockii","Liliaceae","L48(N)","native"
"Allium simillimum","Liliaceae","L48(N)","native"
"Allium siskiyouense","Liliaceae","L48(N)","native"
"Allium speculae","Liliaceae","L48(N)","native"
"Allium sphaerocephalon","Liliaceae","L48(I)","alien"
"Allium stellatum","Liliaceae","L48(N)CAN(N)","native"
"Allium textile","Liliaceae","L48(N)CAN(N)","native"
"Allium tolmiei","Liliaceae","L48(N)","native"
"Allium tolmiei var. persimile","Liliaceae","L48(N)","native"
"Allium tolmiei var. platyphyllum","Liliaceae","L48(N)","native"
"Allium tolmiei var. tolmiei","Liliaceae","L48(N)","native"
"Allium tribracteatum","Liliaceae","L48(N)","native"
"Allium tricoccum","Liliaceae","L48(N)CAN(N)","native"
"Allium triquetrum","Liliaceae","L48(I)","alien"
"Allium tuberosum","Liliaceae","L48(I)","alien"
"Allium tuolumnense","Liliaceae","L48(N)","native"
"Allium unifolium","Liliaceae","L48(N)","native"
"Allium ursinum","Liliaceae",NA,NA
"Allium validum","Liliaceae","L48(N)CAN(N)","native"
"Allium victorialis","Liliaceae","AK(N)",NA
"Allium vineale","Liliaceae","L48(I)AK(I)CAN(I)","alien"
"Allium vineale ssp. compactum","Liliaceae","L48(I)","alien"
"Allium vineale ssp. kochii","Liliaceae",NA,NA
"Allium vineale ssp. vineale","Liliaceae","L48(I)AK(I)CAN(I)","alien"
"Allium yosemitense","Liliaceae","L48(N)","native"
"Allocasuarina","Casuarinaceae",NA,NA
"Allocasuarina acutivalvis","Casuarinaceae",NA,NA
"Allocasuarina campestris","Casuarinaceae",NA,NA
"Allocasuarina corniculata","Casuarinaceae",NA,NA
"Allocasuarina distyla","Casuarinaceae",NA,NA
"Allocasuarina humilis","Casuarinaceae",NA,NA
"Allocasuarina lehmanniana","Casuarinaceae",NA,NA
"Allocasuarina littoralis","Casuarinaceae",NA,NA
"Allocasuarina luehmannii","Casuarinaceae",NA,NA
"Allocasuarina nana","Casuarinaceae",NA,NA
"Allocasuarina paludosa","Casuarinaceae",NA,NA
"Allocasuarina pusilla","Casuarinaceae",NA,NA
"Allocasuarina torulosa","Casuarinaceae",NA,NA
"Allocasuarina verticillata","Casuarinaceae",NA,NA
"Allocetraria","Parmeliaceae","NA(N)","native"
"Allocetraria oaksiana","Parmeliaceae","NA(N)","native"
"Allolepis","Poaceae","L48(N)","native"
"Allolepis texana","Poaceae","L48(N)","native"
"Allophyllum","Polemoniaceae","L48(N)","native"
"Allophyllum divaricatum","Polemoniaceae","L48(N)","native"
"Allophyllum gilioides","Polemoniaceae","L48(N)","native"
"Allophyllum gilioides ssp. gilioides","Polemoniaceae","L48(N)","native"
"Allophyllum gilioides ssp. violaceum","Polemoniaceae","L48(N)","native"
"Allophyllum glutinosum","Polemoniaceae","L48(N)","native"
"Allophyllum integrifolium","Polemoniaceae","L48(N)","native"
"Allophylus","Sapindaceae",NA,NA
"Allophylus crassinervis","Sapindaceae","PR(N)",NA
"Allophylus holophyllus","Sapindaceae",NA,NA
"Allophylus racemosus","Sapindaceae","PR(N)VI(N)",NA
"Allophylus ternatus","Sapindaceae","L48(N)","native"
"Allophylus timorensis","Sapindaceae",NA,NA
"Allophylus timoriensis","Sapindaceae","L48(N)","native"
"Allosidastrum","Malvaceae",NA,NA
"Allosidastrum pyramidatum","Malvaceae","PR(N)VI(N)",NA
"Alloteropsis","Poaceae","L48(I)","alien"
"Alloteropsis cimicina","Poaceae","L48(I)","alien"
"Allotropa","Monotropaceae","L48(N)CAN(N)","native"
"Allotropa virgata","Monotropaceae","L48(N)CAN(N)","native"
"Allowissadula","Malvaceae","L48(N)","native"
"Allowissadula holosericea","Malvaceae","L48(N)","native"
"Allowissadula lozanii","Malvaceae","L48(N)","native"
"Almutaster","Asteraceae","L48(N)CAN(N)","native"
"Almutaster pauciflorus","Asteraceae","L48(N)CAN(N)","native"
"Alnus","Betulaceae","L48(I,N)CAN(I,N)GL(N)SPM(N)","native"
"Alnus X fallacina","Betulaceae","L48(N)","native"
"Alnus cordata","Betulaceae","L48(I)","alien"
"Alnus glutinosa","Betulaceae","L48(I)CAN(I)","alien"
"Alnus incana","Betulaceae","L48(N)AK(N)CAN(N)SPM(N)","native"
"Alnus incana ssp. incana","Betulaceae",NA,NA
"Alnus incana ssp. rugosa","Betulaceae","L48(N)CAN(N)SPM(N)","native"
"Alnus incana ssp. tenuifolia","Betulaceae","L48(N)AK(N)CAN(N)","native"
"Alnus japonica","Betulaceae",NA,NA
"Alnus maritima","Betulaceae","L48(N)","native"
"Alnus nepalensis","Betulaceae","HI(I)",NA
"Alnus oblongifolia","Betulaceae","L48(N)","native"
"Alnus pendula","Betulaceae",NA,NA
"Alnus rhombifolia","Betulaceae","L48(N)","native"
"Alnus rubra","Betulaceae","L48(N)AK(N)CAN(N)","native"
"Alnus serrulata","Betulaceae","L48(N)CAN(N)","native"
"Alnus trabeculosa","Betulaceae",NA,NA
"Alnus viridis","Betulaceae","L48(N)AK(N)CAN(N)GL(N)SPM(N)","native"
"Alnus viridis ssp. crispa","Betulaceae","L48(N)CAN(N)GL(N)SPM(N)","native"
"Alnus viridis ssp. fruticosa","Betulaceae","L48(N)AK(N)CAN(N)","native"
"Alnus viridis ssp. sinuata","Betulaceae","L48(N)AK(N)CAN(N)","native"
"Alocasia","Araceae","L48(I)","alien"
"Alocasia brisbanensis","Araceae",NA,NA
"Alocasia cucullata","Araceae","L48(I)","alien"
"Alocasia macrorrhizos","Araceae","L48(I)HI(I)PR(I)","alien"
"Alocasia macrorrhizos var. rubra","Araceae",NA,NA
"Alocasia odora","Araceae","L48(I)","alien"
"Alocasia plumbea","Araceae","PR(I)",NA
"Aloe","Aloaceae","L48(I)","alien"
"Aloe X schoenlandi","Aloaceae","L48(I)","alien"
"Aloe arborescens","Aloaceae","L48(I)","alien"
"Aloe ferox","Aloaceae",NA,NA
"Aloe graminicola","Aloaceae",NA,NA
"Aloe perryi","Aloaceae",NA,NA
"Aloe secundiflora","Aloaceae",NA,NA
"Aloe succotrina","Aloaceae",NA,NA
"Aloe vera","Aloaceae","L48(I)HI(I)PR(I)VI(I)","alien"
"Aloina","Pottiaceae","NA(N)","native"
"Aloina aloides","Pottiaceae","NA(N)","native"
"Aloina aloides var. ambigua","Pottiaceae","NA(N)","native"
"Aloina bifrons","Pottiaceae","NA(N)","native"
"Aloina brevirostris","Pottiaceae","NA(N)","native"
"Aloina hamulus","Pottiaceae","NA(N)","native"
"Aloina rigida","Pottiaceae","NA(N)","native"
"Alopecurus","Poaceae","L48(I,N)GL(I,N)SPM(I)","native"
"Alopecurus X haussknechtianus","Poaceae","CAN(N)NA(N)","native"
"Alopecurus aequalis","Poaceae","L48(N)AK(N)CAN(N)GL(N)","native"
"Alopecurus aequalis var. aequalis","Poaceae","L48(N)AK(N)CAN(N)GL(N)","native"
"Alopecurus aequalis var. sonomensis","Poaceae","L48(N)","native"
"Alopecurus arundinaceus","Poaceae","L48(I)CAN(W)","alien"
"Alopecurus brachystachus","Poaceae",NA,NA
"Alopecurus bulbosus","Poaceae",NA,NA
"Alopecurus carolinianus","Poaceae","L48(N)CAN(N)","native"
"Alopecurus creticus","Poaceae","L48(I)","alien"
"Alopecurus dasyanthus","Poaceae",NA,NA
"Alopecurus geniculatus","Poaceae","L48(I)AK(I)CAN(I)GL(I)SPM(I)","alien"
"Alopecurus geniculatus var. geniculatus","Poaceae","L48(I)AK(I)CAN(I)GL(I)SPM(I)","alien"
"Alopecurus magellanicus","Poaceae","L48(N)AK(N)CAN(N)GL(N)","native"
"Alopecurus myosuroides","Poaceae","L48(I)CAN(I)","alien"
"Alopecurus pratensis","Poaceae","L48(I)AK(I)CAN(I)GL(I)SPM(I)","alien"
"Alopecurus rendlei","Poaceae","L48(I)","alien"
"Alopecurus saccatus","Poaceae","L48(N)","native"
"Alopecurus utriculatus","Poaceae",NA,NA
"Alopecurus vaginatus","Poaceae",NA,NA
"Alophia","Iridaceae","L48(N)","native"
"Alophia drummondii","Iridaceae","L48(N)","native"
"Aloysia","Verbenaceae","L48(I,N)","native"
"Aloysia gratissima","Verbenaceae","L48(N)","native"
"Aloysia gratissima var. gratissima","Verbenaceae","L48(N)","native"
"Aloysia gratissima var. schulziae","Verbenaceae","L48(N)","native"
"Aloysia macrostachya","Verbenaceae","L48(N)","native"
"Aloysia triphylla","Verbenaceae","L48(I)PR(I)","alien"
"Aloysia wrightii","Verbenaceae","L48(N)","native"
"Alphitonia","Rhamnaceae",NA,NA
"Alphitonia carolinensis","Rhamnaceae","L48(N)","native"
"Alphitonia ponderosa","Rhamnaceae","HI(N)",NA
"Alpinia","Zingiberaceae","L48(I)","alien"
"Alpinia carolinensis","Zingiberaceae","L48(N)","native"
"Alpinia galanga","Zingiberaceae",NA,NA
"Alpinia mutica","Zingiberaceae","HI(I)",NA
"Alpinia officinarum","Zingiberaceae",NA,NA
"Alpinia pubiflora","Zingiberaceae","L48(N)","native"
"Alpinia purpurata","Zingiberaceae","L48(I)HI(I)PR(I)","alien"
"Alpinia zerumbet","Zingiberaceae","L48(I)HI(I)PR(I)VI(I)","alien"
"Alsia","Leucodontaceae","NA(N)","native"
"Alsia californica","Leucodontaceae","NA(N)","native"
"Alsinidendron","Caryophyllaceae",NA,NA
"Alsinidendron lychnoides","Caryophyllaceae","HI(N)",NA
"Alsinidendron obovatum","Caryophyllaceae","HI(N)",NA
"Alsinidendron trinerve","Caryophyllaceae","HI(N)",NA
"Alsinidendron viscosum","Caryophyllaceae","HI(N)",NA
"Alsophila","Cyatheaceae",NA,NA
"Alsophila amintae","Cyatheaceae","PR(N)",NA
"Alsophila brooksii","Cyatheaceae","PR(N)",NA
"Alsophila bryophila","Cyatheaceae","PR(N)",NA
"Alsophila portoricensis","Cyatheaceae","PR(N)",NA
"Alstonia","Apocynaceae","L48(I)","alien"
"Alstonia macrophylla","Apocynaceae","L48(I)HI(I)","alien"
"Alstroemeria","Liliaceae","L48(I)","alien"
"Alstroemeria aurea","Liliaceae",NA,NA
"Alstroemeria haemantha","Liliaceae","L48(I)","alien"
"Alstroemeria psittacina","Liliaceae","L48(I)","alien"
"Alstroemeria pulchella","Liliaceae","L48(I)","alien"
"Alternanthera","Amaranthaceae","L48(I,N)","native"
"Alternanthera bettzichiana","Amaranthaceae","L48(I)HI(I)PR(I)VI(I)","alien"
"Alternanthera brasiliana","Amaranthaceae","L48(I)HI(I)PR(I)VI(I)","alien"
"Alternanthera caracasana","Amaranthaceae","L48(I)HI(I)PR(N)VI(N)","alien"
"Alternanthera crucis","Amaranthaceae","PR(N)VI(N)",NA
"Alternanthera echinocephala","Amaranthaceae",NA,NA
"Alternanthera ficoidea","Amaranthaceae","L48(I)HI(I)PR(N)VI(I)","alien"
"Alternanthera flavescens","Amaranthaceae","L48(N)PR(N)VI(N)","native"
"Alternanthera flavogrisea","Amaranthaceae","L48(N)","native"
"Alternanthera hassleriana","Amaranthaceae",NA,NA
"Alternanthera maritima","Amaranthaceae","L48(N)","native"
"Alternanthera paronychioides","Amaranthaceae","L48(I,N)PR(N)VI(N)","native"
"Alternanthera paronychioides var. amazonica","Amaranthaceae","L48(I)","alien"
"Alternanthera paronychioides var. paronychioides","Amaranthaceae","L48(N)PR(N)VI(N)","native"
"Alternanthera philoxeroides","Amaranthaceae","L48(I)PR(I)","alien"
"Alternanthera pungens","Amaranthaceae","L48(I)HI(I)PR(I)","alien"
"Alternanthera sessilis","Amaranthaceae","L48(I)HI(I)PR(N)VI(N)","alien"
"Alternanthera trigyna","Amaranthaceae",NA,NA
"Althaea","Malvaceae","L48(I)CAN(I)","alien"
"Althaea cannabina","Malvaceae","L48(I)","alien"
"Althaea hirsuta","Malvaceae","L48(I)CAN(I)","alien"
"Althaea officinalis","Malvaceae","L48(I)CAN(I)","alien"
"Alvaradoa","Simaroubaceae","L48(N)","native"
"Alvaradoa amorphoides","Simaroubaceae","L48(N)","native"
"Alvaradoa amorphoides ssp. psilophyllis","Simaroubaceae","L48(N)","native"
"Alysicarpus","Fabaceae","L48(I)","alien"
"Alysicarpus bupleurifolius","Fabaceae","L48(N)","native"
"Alysicarpus glumaceus","Fabaceae",NA,NA
"Alysicarpus ovalifolius","Fabaceae","L48(I)","alien"
"Alysicarpus rugosus","Fabaceae","L48(I)","alien"
"Alysicarpus vaginalis","Fabaceae","L48(I)HI(I)PR(I)VI(I)","alien"
"Alyssoides","Brassicaceae",NA,NA
"Alyssoides utriculata","Brassicaceae",NA,NA
"Alyssum","Brassicaceae","L48(I)CAN(I,N)","alien"
"Alyssum alpestre","Brassicaceae",NA,NA
"Alyssum alyssoides","Brassicaceae","L48(I)CAN(I)","alien"
"Alyssum argenteum","Brassicaceae",NA,NA
"Alyssum bornmuelleri","Brassicaceae",NA,NA
"Alyssum borzaeanum","Brassicaceae",NA,NA
"Alyssum condensatum","Brassicaceae",NA,NA
"Alyssum corsicum","Brassicaceae","L48(I)","alien"
"Alyssum desertorum","Brassicaceae","L48(I)CAN(I)","alien"
"Alyssum desertorum var. desertorum","Brassicaceae","L48(I)CAN(I)","alien"
"Alyssum desertorum var. himalayensis","Brassicaceae","L48(I)","alien"
"Alyssum diffusum","Brassicaceae",NA,NA
"Alyssum erosulum","Brassicaceae",NA,NA
"Alyssum idaeum","Brassicaceae",NA,NA
"Alyssum lenense","Brassicaceae",NA,NA
"Alyssum markgrafii","Brassicaceae",NA,NA
"Alyssum murale","Brassicaceae","L48(I)CAN(I)","alien"
"Alyssum obovatum","Brassicaceae","AK(N)CAN(N)NA(N)","native"
"Alyssum serpyllifolium","Brassicaceae",NA,NA
"Alyssum simplex","Brassicaceae","L48(I)","alien"
"Alyssum strigosum","Brassicaceae","L48(I)","alien"
"Alyssum szovitsianum","Brassicaceae","L48(I)","alien"
"Alyssum tortuosum","Brassicaceae",NA,NA
"Alyxia","Apocynaceae",NA,NA
"Alyxia bracteolosa","Apocynaceae","L48(N)","native"
"Alyxia stellata","Apocynaceae","HI(N)",NA
"Alyxia torresiana","Apocynaceae",NA,NA
"Amandinea","Physciaceae","NA(N)","native"
"Amandinea coniops","Physciaceae","NA(N)","native"
"Amandinea dakotensis","Physciaceae","NA(N)","native"
"Amandinea leucomela","Physciaceae","NA(N)","native"
"Amandinea milliaria","Physciaceae","NA(N)","native"
"Amandinea polyspora","Physciaceae","NA(N)","native"
"Amandinea punctata","Physciaceae","NA(N)","native"
"Amaranthus","Amaranthaceae","SPM(I,W)",NA
"Amaranthus X texensis","Amaranthaceae","L48(N)","native"
"Amaranthus X tucsonensis","Amaranthaceae","L48(N)","native"
"Amaranthus acanthochiton","Amaranthaceae","L48(N)","native"
"Amaranthus acutilobus","Amaranthaceae",NA,NA
"Amaranthus albus","Amaranthaceae","L48(I)AK(I)CAN(W)SPM(W)","alien"
"Amaranthus arenicola","Amaranthaceae","L48(N)","native"
"Amaranthus australis","Amaranthaceae","L48(N)PR(N)","native"
"Amaranthus bigelovii","Amaranthaceae","L48(N)","native"
"Amaranthus blitoides","Amaranthaceae","L48(I)AK(I)CAN(I)","alien"
"Amaranthus blitum","Amaranthaceae","L48(I)HI(I)PR(I)CAN(I)","alien"
"Amaranthus blitum var. blitum","Amaranthaceae","L48(I)HI(I)","alien"
"Amaranthus blitum var. emarginatus","Amaranthaceae","L48(I)HI(I)PR(I)CAN(I)","alien"
"Amaranthus blitum var. pseudogracilis","Amaranthaceae","L48(I)","alien"
"Amaranthus brownii","Amaranthaceae","HI(N)",NA
"Amaranthus californicus","Amaranthaceae","L48(N)CAN(N)","native"
"Amaranthus cannabinus","Amaranthaceae","L48(N)","native"
"Amaranthus caudatus","Amaranthaceae","L48(I)PR(I)","alien"
"Amaranthus chihuahuensis","Amaranthaceae",NA,NA
"Amaranthus crassipes","Amaranthaceae","L48(I,N)PR(I)VI(I)","native"
"Amaranthus crassipes var. crassipes","Amaranthaceae","L48(I)PR(I)VI(I)","alien"
"Amaranthus crassipes var. warnockii","Amaranthaceae","L48(N)","native"
"Amaranthus crispus","Amaranthaceae","L48(I)","alien"
"Amaranthus cruentus","Amaranthaceae","L48(I)HI(I)PR(I)CAN(I)","alien"
"Amaranthus deflexus","Amaranthaceae","L48(I)","alien"
"Amaranthus dubius","Amaranthaceae","L48(I)HI(I)PR(N)VI(N)","alien"
"Amaranthus fimbriatus","Amaranthaceae","L48(N)","native"
"Amaranthus floridanus","Amaranthaceae","L48(N)","native"
"Amaranthus graecizans","Amaranthaceae","L48(I)","alien"
"Amaranthus graecizans ssp. sylvestris","Amaranthaceae","L48(I)","alien"
"Amaranthus greggii","Amaranthaceae","L48(N)","native"
"Amaranthus hybridus","Amaranthaceae","L48(N)HI(I)CAN(I)","native"
"Amaranthus hybridus X hypochondriacus","Amaranthaceae",NA,NA
"Amaranthus hypochondriacus","Amaranthaceae","L48(I)","alien"
"Amaranthus interruptus","Amaranthaceae","L48(I)","alien"
"Amaranthus lineatus","Amaranthaceae","HI(I)",NA
"Amaranthus macrocarpus","Amaranthaceae","L48(W)","alien"
"Amaranthus muricatus","Amaranthaceae","L48(I)","alien"
"Amaranthus obcordatus","Amaranthaceae","L48(N)","native"
"Amaranthus palmeri","Amaranthaceae","L48(N)CAN(I)","native"
